liveqa,smallgroups,projects,polls,feedback,express,examples,overall
Frequently,Very frequently,A moderate amount,Very infrequently,Frequently,Very frequently,Frequently,Satisfied
Very frequently,Very frequently,Very frequently,Very infrequently,Infrequently,Very frequently,Very frequently,Very satisfied
Frequently,A moderate amount,Very infrequently,A moderate amount,Infrequently,A moderate amount,Frequently,Satisfied
Infrequently,Very infrequently,Not applicable to my course,Not applicable to my course,Infrequently,Infrequently,Infrequently,Satisfied
Very frequently,Very frequently,Very infrequently,Not applicable to my course,A moderate amount,Very frequently,Very frequently,Satisfied
Very frequently,Very frequently,Not applicable to my course,Very frequently,Frequently,Very frequently,Very frequently,Satisfied
Very infrequently,Frequently,A moderate amount,Very infrequently,Very infrequently,A moderate amount,Very infrequently,Dissatisfied
Infrequently,Very infrequently,Very infrequently,A moderate amount,A moderate amount,A moderate amount,Infrequently,Neutral
Very frequently,A moderate amount,Not applicable to my course,Very infrequently,Infrequently,A moderate amount,Very frequently,Neutral
A moderate amount,Frequently,Infrequently,Very infrequently,A moderate amount,Frequently,Infrequently,Satisfied
Frequently,Very infrequently,Very infrequently,Very infrequently,Infrequently,A moderate amount,Very infrequently,Dissatisfied
A moderate amount,Very frequently,Not applicable to my course,Not applicable to my course,Infrequently,Infrequently,Very infrequently,Dissatisfied
A moderate amount,Infrequently,Not applicable to my course,Frequently,Infrequently,Frequently,Very frequently,Satisfied
A moderate amount,Very frequently,A moderate amount,Infrequently,Frequently,Very frequently,Frequently,Satisfied
Very infrequently,Very infrequently,Very infrequently,Very infrequently,A moderate amount,Infrequently,Very infrequently,Very dissatisfied
A moderate amount,Not applicable to my course,Not applicable to my course,A moderate amount,Very infrequently,Very frequently,A moderate amount,Satisfied
Frequently,Very frequently,Not applicable to my course,Very infrequently,Very infrequently,Infrequently,A moderate amount,Very dissatisfied
Very infrequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very infrequently,Infrequently,Infrequently,Satisfied
Infrequently,Very infrequently,Very infrequently,Frequently,Infrequently,Very frequently,Frequently,Dissatisfied
Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very infrequently,Very infrequently,Very infrequently,Dissatisfied
Very frequently,Very frequently,Not applicable to my course,Not applicable to my course,Very frequently,Very frequently,Not applicable to my course,Very satisfied
Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Frequently,Dissatisfied
A moderate amount,Frequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very frequently,Very frequently,Very satisfied
Infrequently,Very infrequently,Very infrequently,Not applicable to my course,Frequently,Frequently,A moderate amount,Satisfied
Very frequently,Very infrequently,Very infrequently,Very frequently,Very frequently,Very frequently,Very frequently,Very satisfied
A moderate amount,Frequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very frequently,Very frequently,Very satisfied
Frequently,A moderate amount,Very infrequently,Very infrequently,Frequently,Very frequently,Frequently,Satisfied
A moderate amount,Not applicable to my course,Not applicable to my course,Very infrequently,Very frequently,Very frequently,Frequently,Very satisfied
Very frequently,Very frequently,Not applicable to my course,A moderate amount,Frequently,Very frequently,A moderate amount,Satisfied
Very frequently,Frequently,Infrequently,A moderate amount,Infrequently,Very frequently,Very frequently,Satisfied
Very infrequently,,Very infrequently,Not applicable to my course,Frequently,A moderate amount,Not applicable to my course,Very dissatisfied
Very frequently,Not applicable to my course,Very infrequently,Very infrequently,Very infrequently,Very frequently,Very frequently,Dissatisfied
Infrequently,A moderate amount,Infrequently,Infrequently,Infrequently,Infrequently,Infrequently,Very dissatisfied
Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Dissatisfied
Not applicable to my course,Very infrequently,Not applicable to my course,Not applicable to my course,Infrequently,Very infrequently,Very infrequently,Satisfied
A moderate amount,Very infrequently,Very infrequently,Very frequently,A moderate amount,A moderate amount,Very infrequently,Dissatisfied
Frequently,A moderate amount,Infrequently,A moderate amount,Frequently,Frequently,Frequently,Satisfied
Very frequently,A moderate amount,Very infrequently,Not applicable to my course,A moderate amount,Very frequently,Very frequently,Very satisfied
Frequently,A moderate amount,A moderate amount,Frequently,Very frequently,Very frequently,Frequently,Very satisfied
Frequently,Very frequently,Infrequently,Infrequently,Very frequently,Very frequently,Very frequently,Satisfied
A moderate amount,Not applicable to my course,Not applicable to my course,Not applicable to my course,A moderate amount,A moderate amount,A moderate amount,Dissatisfied
A moderate amount,Infrequently,Infrequently,Infrequently,Frequently,Frequently,Frequently,Very satisfied
Infrequently,A moderate amount,A moderate amount,Frequently,A moderate amount,A moderate amount,A moderate amount,Neutral
A moderate amount,Frequently,Infrequently,Very infrequently,A moderate amount,A moderate amount,Infrequently,Neutral
Infrequently,Very frequently,Very infrequently,Very infrequently,Very frequently,Very frequently,Frequently,Very satisfied
Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,A moderate amount,A moderate amount,Very dissatisfied
Very frequently,Very frequently,Very frequently,Very infrequently,Very frequently,Frequently,Very frequently,Very satisfied
Very frequently,Very frequently,Frequently,Very frequently,Very frequently,Very frequently,Very frequently,Neutral
A moderate amount,Very frequently,A moderate amount,Not applicable to my course,Very infrequently,Very infrequently,A moderate amount,Neutral
Frequently,Very frequently,Not applicable to my course,Not applicable to my course,Infrequently,Very frequently,A moderate amount,Dissatisfied
Very infrequently,Very infrequently,Very infrequently,Not applicable to my course,Not applicable to my course,Infrequently,Infrequently,Very dissatisfied
Frequently,Very frequently,Infrequently,Frequently,Frequently,Very frequently,A moderate amount,Satisfied
Frequently,Infrequently,A moderate amount,Infrequently,Infrequently,Very frequently,Very frequently,Very satisfied
A moderate amount,A moderate amount,Infrequently,A moderate amount,Very frequently,Very frequently,Infrequently,Very satisfied
Not applicable to my course,Not applicable to my course,Not applicable to my course,Infrequently,A moderate amount,Infrequently,Frequently,Very dissatisfied
,,,,,Not applicable to my course,Not applicable to my course,Very satisfied
Very frequently,Infrequently,Very infrequently,Very infrequently,Infrequently,Very infrequently,Very infrequently,Very dissatisfied
Frequently,Frequently,Very frequently,Frequently,A moderate amount,Very frequently,Frequently,Dissatisfied
A moderate amount,Very frequently,A moderate amount,Not applicable to my course,Very infrequently,Infrequently,Infrequently,Neutral
A moderate amount,Frequently,Very infrequently,Very infrequently,A moderate amount,Frequently,Frequently,Neutral
Frequently,Frequently,Frequently,Infrequently,Frequently,Very frequently,Infrequently,Satisfied
Very infrequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,Infrequently,Infrequently,Very infrequently,Very dissatisfied
Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very satisfied
Very frequently,Very frequently,Not applicable to my course,A moderate amount,Frequently,Very frequently,Frequently,Very satisfied
Frequently,Very frequently,Not applicable to my course,A moderate amount,Very frequently,Very frequently,Frequently,Very satisfied
Very frequently,Infrequently,Very infrequently,Very infrequently,Infrequently,Very infrequently,Very infrequently,Very dissatisfied
A moderate amount,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very infrequently,Very frequently,A moderate amount,Neutral
Very infrequently,Very frequently,Not applicable to my course,Very frequently,Very frequently,Very frequently,Very frequently,Satisfied
Frequently,Very frequently,Very infrequently,Infrequently,Frequently,A moderate amount,A moderate amount,Dissatisfied
Not applicable to my course,Very infrequently,Not applicable to my course,Not applicable to my course,Infrequently,Very infrequently,Very infrequently,Satisfied
Very frequently,Very infrequently,Very frequently,Very frequently,A moderate amount,Very infrequently,Very frequently,Satisfied
Frequently,Very frequently,Frequently,Very infrequently,A moderate amount,A moderate amount,Frequently,Satisfied
A moderate amount,Very frequently,A moderate amount,Infrequently,Frequently,Frequently,Infrequently,Neutral
Infrequently,Infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very dissatisfied
Very frequently,Very frequently,Frequently,Infrequently,Frequently,Very frequently,Frequently,Very satisfied
A moderate amount,Very frequently,Infrequently,Not applicable to my course,Frequently,Frequently,Frequently,Satisfied
A moderate amount,A moderate amount,A moderate amount,Frequently,A moderate amount,Frequently,Frequently,Satisfied
Frequently,Very frequently,Very infrequently,Frequently,Very frequently,Very frequently,Very frequently,Neutral
Frequently,Very frequently,A moderate amount,Very frequently,A moderate amount,Very frequently,Very frequently,Satisfied
A moderate amount,A moderate amount,Very infrequently,Frequently,Frequently,Infrequently,Infrequently,Very satisfied
Frequently,Frequently,Very infrequently,Not applicable to my course,A moderate amount,Frequently,Very infrequently,Dissatisfied
Very frequently,Very frequently,Infrequently,Not applicable to my course,A moderate amount,Frequently,Infrequently,Satisfied
Very frequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,A moderate amount,Very frequently,Very frequently,Very satisfied
Very frequently,Frequently,Not applicable to my course,Very frequently,Very frequently,Very frequently,Very frequently,Satisfied
Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Satisfied
Very frequently,Frequently,Frequently,Very infrequently,Very frequently,Very frequently,Very frequently,Very satisfied
Frequently,Very frequently,Frequently,A moderate amount,Very frequently,Very frequently,Frequently,Satisfied
Frequently,Very frequently,Infrequently,Very infrequently,Very frequently,Very frequently,Frequently,Very satisfied
Infrequently,Very frequently,A moderate amount,Very frequently,Frequently,Very frequently,Frequently,Very satisfied
Very frequently,A moderate amount,Not applicable to my course,A moderate amount,Very frequently,Very frequently,Very frequently,Very satisfied
A moderate amount,Very infrequently,Not applicable to my course,Infrequently,A moderate amount,Very frequently,Frequently,Dissatisfied
Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very dissatisfied
Very infrequently,Frequently,Not applicable to my course,Frequently,Very infrequently,A moderate amount,A moderate amount,Neutral
Very frequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very frequently,Very frequently,Very satisfied
A moderate amount,Very frequently,Very infrequently,Very infrequently,Infrequently,Frequently,A moderate amount,Dissatisfied
Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very frequently,Frequently,Very dissatisfied
Frequently,Frequently,Very infrequently,Very frequently,Frequently,Very frequently,A moderate amount,Very satisfied
Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Infrequently,Satisfied
Frequently,Very frequently,Not applicable to my course,Infrequently,Frequently,Very frequently,Frequently,Satisfied
Infrequently,Infrequently,A moderate amount,Frequently,Very frequently,Very frequently,Very frequently,Very satisfied
A moderate amount,Very infrequently,Very infrequently,Very infrequently,Infrequently,Very infrequently,Very infrequently,Very dissatisfied
Frequently,Frequently,Very infrequently,Very frequently,A moderate amount,Very frequently,Frequently,Satisfied
Very infrequently,A moderate amount,Very infrequently,Frequently,A moderate amount,Frequently,A moderate amount,Very dissatisfied
Frequently,Very frequently,Very frequently,A moderate amount,Very frequently,Very frequently,Frequently,Satisfied
A moderate amount,Very frequently,A moderate amount,Not applicable to my course,Frequently,A moderate amount,Very frequently,Very satisfied
Very frequently,Not applicable to my course,Very infrequently,Very frequently,Very frequently,Very frequently,Frequently,Satisfied
Frequently,Frequently,Very infrequently,Very infrequently,Infrequently,Frequently,Frequently,Satisfied
Very frequently,A moderate amount,Not applicable to my course,Not applicable to my course,Very infrequently,Very frequently,Frequently,Neutral
Frequently,Frequently,Infrequently,Infrequently,Very frequently,Very frequently,Frequently,Satisfied
Frequently,Very frequently,Not applicable to my course,Very frequently,Frequently,Very frequently,Infrequently,Very satisfied
A moderate amount,A moderate amount,Infrequently,A moderate amount,A moderate amount,A moderate amount,Frequently,Neutral
Frequently,Not applicable to my course,Infrequently,Not applicable to my course,A moderate amount,A moderate amount,A moderate amount,Neutral
Frequently,Infrequently,Not applicable to my course,Frequently,Very frequently,Very frequently,Frequently,Very satisfied
Frequently,Frequently,A moderate amount,Infrequently,A moderate amount,Frequently,A moderate amount,Satisfied
Not applicable to my course,Not applicable to my course,Not applicable to my course,Very frequently,Very frequently,Very frequently,Very frequently,Very satisfied
Very infrequently,Very infrequently,Not applicable to my course,Not applicable to my course,Very infrequently,Very infrequently,Very infrequently,Satisfied
Frequently,Very frequently,A moderate amount,Very infrequently,Very frequently,Frequently,A moderate amount,Neutral
A moderate amount,Very frequently,A moderate amount,Not applicable to my course,A moderate amount,Very frequently,Frequently,Satisfied
A moderate amount,Very frequently,Frequently,Not applicable to my course,Very infrequently,Frequently,Frequently,Very satisfied
A moderate amount,A moderate amount,A moderate amount,Frequently,Very frequently,Very frequently,Very frequently,Very satisfied
Frequently,Frequently,Infrequently,A moderate amount,Frequently,Frequently,A moderate amount,Satisfied
Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very dissatisfied
Frequently,Very frequently,Not applicable to my course,A moderate amount,Very frequently,Very frequently,Very frequently,Very satisfied
Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very dissatisfied
Very frequently,Very frequently,Not applicable to my course,Very frequently,Very frequently,Very frequently,Not applicable to my course,Very satisfied
A moderate amount,Very frequently,Very infrequently,Very infrequently,Infrequently,Very frequently,A moderate amount,Dissatisfied
Very frequently,A moderate amount,Very infrequently,Infrequently,A moderate amount,Frequently,Frequently,Satisfied
Very frequently,Frequently,A moderate amount,Infrequently,Very frequently,Very frequently,Very frequently,Very satisfied
Frequently,Very frequently,Very infrequently,Very infrequently,Very frequently,Very frequently,Very frequently,Satisfied
Very frequently,Infrequently,Infrequently,Very infrequently,Very frequently,Very frequently,Very frequently,Satisfied
Very infrequently,Very infrequently,Very infrequently,Very infrequently,A moderate amount,Infrequently,Infrequently,Very dissatisfied
Very infrequently,Infrequently,Infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very satisfied
Frequently,Very frequently,Frequently,Very infrequently,Very frequently,Very frequently,Very frequently,Very satisfied
A moderate amount,Very infrequently,Very infrequently,Very infrequently,Very infrequently,A moderate amount,Very infrequently,Very dissatisfied
Very frequently,Infrequently,Very infrequently,A moderate amount,Very infrequently,Very frequently,Very frequently,Very satisfied
Frequently,Infrequently,Very infrequently,A moderate amount,Very infrequently,A moderate amount,Very infrequently,Very dissatisfied
A moderate amount,Not applicable to my course,A moderate amount,Not applicable to my course,Frequently,Frequently,A moderate amount,Very satisfied
Very frequently,Very frequently,Not applicable to my course,A moderate amount,Frequently,Very frequently,Very frequently,Very satisfied
Frequently,Very frequently,Very frequently,Frequently,Very frequently,Very frequently,Very frequently,Satisfied
Very frequently,Very frequently,Infrequently,Very infrequently,Frequently,Very frequently,Very frequently,Satisfied
Frequently,A moderate amount,Infrequently,Frequently,Very frequently,Very frequently,A moderate amount,Neutral
A moderate amount,Not applicable to my course,Not applicable to my course,Not applicable to my course,A moderate amount,Not applicable to my course,Frequently,Very satisfied
Infrequently,Very infrequently,Very infrequently,Very infrequently,Infrequently,Infrequently,Infrequently,Very dissatisfied
A moderate amount,A moderate amount,Very infrequently,Infrequently,Infrequently,Frequently,Frequently,Satisfied
Infrequently,Frequently,Very infrequently,Very infrequently,Frequently,Frequently,Frequently,Satisfied
Frequently,A moderate amount,Infrequently,Frequently,A moderate amount,Frequently,Frequently,Satisfied
Very frequently,A moderate amount,Not applicable to my course,Not applicable to my course,Frequently,Very frequently,Frequently,Satisfied
Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Frequently,A moderate amount,Dissatisfied
Very infrequently,A moderate amount,Very infrequently,Very infrequently,Very infrequently,Frequently,Infrequently,Very dissatisfied
Very frequently,Very frequently,Frequently,A moderate amount,Very frequently,Frequently,Very frequently,Very satisfied
A moderate amount,A moderate amount,Very infrequently,Very infrequently,A moderate amount,A moderate amount,A moderate amount,Satisfied
Infrequently,Very frequently,Very infrequently,Very frequently,Frequently,Very frequently,Frequently,Neutral
Very infrequently,A moderate amount,Not applicable to my course,Very infrequently,A moderate amount,A moderate amount,Frequently,Satisfied
Very infrequently,Very frequently,A moderate amount,Infrequently,Frequently,Frequently,Frequently,Dissatisfied
,,,,,,,Neutral
Very frequently,Very infrequently,Not applicable to my course,Not applicable to my course,Very infrequently,Very frequently,Frequently,Satisfied
Frequently,Frequently,Very infrequently,Not applicable to my course,Infrequently,Frequently,A moderate amount,Neutral
Infrequently,Very frequently,Very frequently,Very frequently,Infrequently,Very frequently,Very frequently,Very dissatisfied
Very frequently,Very frequently,Not applicable to my course,Not applicable to my course,Frequently,Very frequently,Frequently,Very satisfied
Frequently,Infrequently,Very infrequently,Infrequently,Frequently,Frequently,Frequently,Neutral
Very frequently,A moderate amount,Very infrequently,A moderate amount,Very infrequently,A moderate amount,Very frequently,Satisfied
Infrequently,Very frequently,Very frequently,Very frequently,Very infrequently,A moderate amount,Not applicable to my course,Dissatisfied
A moderate amount,Frequently,Not applicable to my course,Infrequently,Frequently,Very frequently,Frequently,Very satisfied
Very frequently,Very frequently,Not applicable to my course,Very infrequently,Very frequently,Very frequently,Frequently,Very satisfied
A moderate amount,A moderate amount,A moderate amount,Infrequently,A moderate amount,Frequently,A moderate amount,Satisfied
Frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Frequently,Very satisfied
A moderate amount,A moderate amount,Infrequently,Infrequently,Frequently,Very frequently,A moderate amount,Satisfied
A moderate amount,A moderate amount,A moderate amount,Infrequently,Very frequently,Very frequently,Very frequently,Satisfied
Infrequently,Very frequently,Very frequently,Very frequently,Very infrequently,A moderate amount,Not applicable to my course,Dissatisfied
Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very infrequently,Very infrequently,Neutral
Frequently,Very frequently,Infrequently,Frequently,Very frequently,Frequently,Very frequently,Satisfied
Very frequently,A moderate amount,Infrequently,Not applicable to my course,A moderate amount,Infrequently,A moderate amount,Dissatisfied
A moderate amount,Very frequently,Frequently,Infrequently,Very frequently,Very frequently,Very frequently,Satisfied
Frequently,Frequently,Very infrequently,A moderate amount,Very infrequently,Frequently,A moderate amount,Dissatisfied
Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Satisfied
Frequently,Very frequently,A moderate amount,A moderate amount,Frequently,Very frequently,Infrequently,Neutral
A moderate amount,Very frequently,Very infrequently,Very infrequently,A moderate amount,Very frequently,A moderate amount,Satisfied
A moderate amount,Very infrequently,Very infrequently,Infrequently,Frequently,Frequently,Frequently,Satisfied
A moderate amount,Very frequently,Infrequently,Infrequently,A moderate amount,Frequently,A moderate amount,Satisfied
Very frequently,Very frequently,A moderate amount,Very infrequently,Very frequently,Very frequently,Not applicable to my course,Very satisfied
A moderate amount,Infrequently,Infrequently,Very infrequently,Infrequently,A moderate amount,Infrequently,Very dissatisfied
Infrequently,Not applicable to my course,A moderate amount,Very infrequently,Very infrequently,Very infrequently,Very infrequently,
Very frequently,Very infrequently,Very infrequently,Very infrequently,A moderate amount,A moderate amount,A moderate amount,Satisfied
,,,,,,,
Frequently,Very frequently,Very infrequently,Very infrequently,Frequently,Very frequently,Very frequently,Satisfied
Very frequently,Very frequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,Infrequently,Infrequently,Neutral
A moderate amount,Infrequently,Infrequently,Infrequently,Infrequently,A moderate amount,A moderate amount,Dissatisfied
A moderate amount,Not applicable to my course,Not applicable to my course,Infrequently,Very infrequently,Very infrequently,Very infrequently,Dissatisfied
,,,,,,,Neutral
Very infrequently,Very infrequently,Infrequently,Infrequently,Very infrequently,Very infrequently,Very infrequently,Neutral
Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very dissatisfied
A moderate amount,Infrequently,Very infrequently,Very frequently,A moderate amount,Frequently,Very frequently,Very satisfied
Very frequently,Very frequently,Frequently,Frequently,Frequently,Very frequently,Frequently,Satisfied
Very frequently,Very frequently,Not applicable to my course,A moderate amount,Frequently,Frequently,Frequently,Satisfied
Frequently,Frequently,A moderate amount,Not applicable to my course,Frequently,Frequently,Frequently,Very satisfied
A moderate amount,Not applicable to my course,Frequently,Not applicable to my course,Very frequently,A moderate amount,Very infrequently,Dissatisfied
Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very dissatisfied
Infrequently,Very frequently,Very infrequently,Frequently,A moderate amount,Very frequently,A moderate amount,Dissatisfied
Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Dissatisfied
A moderate amount,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very infrequently,Very infrequently,Very infrequently,Neutral
Very infrequently,Infrequently,Infrequently,Infrequently,Very infrequently,Infrequently,A moderate amount,Very dissatisfied
Very frequently,Very frequently,A moderate amount,Very infrequently,Very frequently,Very frequently,Very frequently,Satisfied
A moderate amount,Frequently,Not applicable to my course,Frequently,Infrequently,Frequently,Very frequently,Satisfied
Very frequently,Very frequently,Frequently,Frequently,Frequently,Very frequently,Very frequently,Satisfied
Not applicable to my course,A moderate amount,Not applicable to my course,A moderate amount,A moderate amount,A moderate amount,Very infrequently,Dissatisfied
Frequently,Infrequently,Infrequently,Infrequently,A moderate amount,Frequently,Frequently,Satisfied
Infrequently,A moderate amount,Infrequently,Very frequently,A moderate amount,Frequently,A moderate amount,Neutral
Frequently,Very infrequently,Not applicable to my course,Not applicable to my course,Infrequently,Very frequently,Frequently,Neutral
A moderate amount,Very frequently,Frequently,A moderate amount,Very frequently,Very frequently,A moderate amount,Satisfied
Frequently,Very frequently,Infrequently,Frequently,Frequently,Frequently,A moderate amount,Neutral
Very frequently,A moderate amount,Very infrequently,Infrequently,Very frequently,Very frequently,Frequently,Satisfied
A moderate amount,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Frequently,A moderate amount,Dissatisfied
Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very satisfied
Frequently,Very frequently,Very infrequently,Very frequently,Frequently,Very frequently,Infrequently,Very satisfied
Very frequently,Infrequently,Infrequently,Very infrequently,Very frequently,Very frequently,Frequently,Very satisfied
Very frequently,Very frequently,Very frequently,Frequently,Very frequently,Very frequently,Very frequently,Very satisfied
Infrequently,A moderate amount,Not applicable to my course,Not applicable to my course,Frequently,Frequently,Frequently,Neutral
Very frequently,A moderate amount,Not applicable to my course,Not applicable to my course,Frequently,Very frequently,A moderate amount,Satisfied
Frequently,Very frequently,Frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very satisfied
Very frequently,Very frequently,A moderate amount,Very infrequently,A moderate amount,Frequently,A moderate amount,Satisfied
A moderate amount,Infrequently,Frequently,Very infrequently,Frequently,A moderate amount,Frequently,Satisfied
Infrequently,Infrequently,Infrequently,Very frequently,Very frequently,Very frequently,Infrequently,Dissatisfied
A moderate amount,Infrequently,Very infrequently,A moderate amount,Frequently,Frequently,Frequently,Satisfied
Infrequently,Very frequently,Not applicable to my course,Very frequently,Frequently,Very frequently,Very frequently,Satisfied
Very frequently,Frequently,Not applicable to my course,Frequently,Very frequently,Very frequently,Very frequently,Very satisfied
Very frequently,Very frequently,Very infrequently,Very frequently,Infrequently,Very frequently,Very frequently,Very satisfied
Infrequently,Very infrequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,Frequently,Frequently,Dissatisfied
Not applicable to my course,Not applicable to my course,Very infrequently,Very infrequently,Very infrequently,Infrequently,Infrequently,Dissatisfied
Infrequently,Very infrequently,Very infrequently,Very infrequently,Infrequently,Frequently,Frequently,Dissatisfied
Infrequently,A moderate amount,Very infrequently,Very infrequently,A moderate amount,Infrequently,Infrequently,Dissatisfied
Infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Dissatisfied
Very infrequently,Very frequently,Not applicable to my course,Not applicable to my course,Frequently,Frequently,Frequently,Dissatisfied
Very infrequently,Infrequently,Not applicable to my course,Not applicable to my course,Very infrequently,Very frequently,Infrequently,Neutral
Frequently,Frequently,Frequently,A moderate amount,A moderate amount,A moderate amount,Infrequently,Satisfied
Very frequently,A moderate amount,Not applicable to my course,Infrequently,Very infrequently,Very frequently,Very frequently,Neutral
