liveqa,smallgroups,projects,polls,feedback,express,examples,overall
A moderate amount,Very frequently,Not applicable to my course,Infrequently,A moderate amount,A moderate amount,Frequently,Very dissatisfied
Frequently,Very frequently,Very frequently,Not applicable to my course,Very infrequently,Very infrequently,Frequently,Very dissatisfied
Very frequently,Very frequently,Not applicable to my course,Infrequently,A moderate amount,Frequently,Frequently,Very satisfied
Very frequently,Very frequently,Not applicable to my course,Not applicable to my course,Very frequently,Very frequently,Very infrequently,Neutral
,,,,,,,
Frequently,Very frequently,Very frequently,Frequently,Very frequently,Very infrequently,Very frequently,Satisfied
A moderate amount,Very frequently,A moderate amount,A moderate amount,Very frequently,Very frequently,Frequently,Satisfied
Frequently,Very frequently,A moderate amount,A moderate amount,Frequently,Very frequently,A moderate amount,Satisfied
Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very satisfied
Infrequently,Very frequently,Infrequently,Very infrequently,A moderate amount,Very frequently,Very frequently,Very satisfied
Infrequently,Frequently,Infrequently,Frequently,Infrequently,Very frequently,Very frequently,Satisfied
Very frequently,Very frequently,Very frequently,A moderate amount,Very frequently,Very frequently,Frequently,Satisfied
A moderate amount,Very infrequently,Very infrequently,Very infrequently,A moderate amount,A moderate amount,A moderate amount,Neutral
Infrequently,Infrequently,Not applicable to my course,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very satisfied
Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very satisfied
Very frequently,Very frequently,Frequently,Frequently,Very frequently,Very frequently,Very frequently,Very satisfied
Not applicable to my course,Very infrequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,Frequently,A moderate amount,Neutral
Not applicable to my course,Very infrequently,Very infrequently,Infrequently,Frequently,Frequently,Very frequently,Very satisfied
Very frequently,Very frequently,Very frequently,Not applicable to my course,Very frequently,Very frequently,A moderate amount,Very satisfied
A moderate amount,Very infrequently,Not applicable to my course,A moderate amount,Infrequently,A moderate amount,Very infrequently,Dissatisfied
Very infrequently,Very frequently,Frequently,,A moderate amount,A moderate amount,Not applicable to my course,Dissatisfied
Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Satisfied
Very infrequently,Very infrequently,Very infrequently,Very infrequently,Infrequently,A moderate amount,Very infrequently,Very dissatisfied
Very frequently,Very frequently,Very infrequently,A moderate amount,Very frequently,Very frequently,A moderate amount,Satisfied
A moderate amount,Frequently,A moderate amount,Frequently,A moderate amount,Frequently,Very infrequently,Neutral
Very frequently,A moderate amount,Frequently,Very infrequently,A moderate amount,Frequently,Very infrequently,Satisfied
Very frequently,Frequently,Infrequently,A moderate amount,A moderate amount,Frequently,A moderate amount,Satisfied
Frequently,Very frequently,Very frequently,Not applicable to my course,Very infrequently,A moderate amount,A moderate amount,Satisfied
Not applicable to my course,Frequently,Infrequently,A moderate amount,A moderate amount,Very frequently,Frequently,Satisfied
Very frequently,Very frequently,A moderate amount,Infrequently,Very frequently,Very frequently,A moderate amount,Very satisfied
Very frequently,Very frequently,Not applicable to my course,Frequently,Very frequently,Very frequently,Very frequently,Very satisfied
A moderate amount,Very frequently,Not applicable to my course,Very frequently,Very frequently,Very frequently,Frequently,Very satisfied
A moderate amount,Very frequently,Very infrequently,Very frequently,Very frequently,A moderate amount,Frequently,Very satisfied
A moderate amount,Very frequently,Not applicable to my course,Not applicable to my course,Very infrequently,Frequently,Frequently,Dissatisfied
Frequently,Frequently,Infrequently,Infrequently,A moderate amount,Very frequently,Very frequently,Satisfied
Infrequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very infrequently,A moderate amount,Not applicable to my course,Very dissatisfied
A moderate amount,Very frequently,Very infrequently,Very frequently,Infrequently,A moderate amount,Very infrequently,Satisfied
A moderate amount,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Infrequently,Very infrequently,Dissatisfied
Very infrequently,Very infrequently,Very infrequently,Very infrequently,A moderate amount,A moderate amount,Not applicable to my course,Dissatisfied
A moderate amount,Infrequently,Infrequently,A moderate amount,Very frequently,Very frequently,Frequently,Very satisfied
Frequently,Very frequently,Infrequently,A moderate amount,Frequently,Frequently,A moderate amount,Satisfied
Very frequently,Very frequently,Not applicable to my course,Not applicable to my course,Very frequently,Very frequently,Very frequently,Very satisfied
Very frequently,Very frequently,A moderate amount,A moderate amount,Frequently,A moderate amount,Infrequently,Satisfied
Infrequently,Very infrequently,Very infrequently,Very infrequently,A moderate amount,Very infrequently,Very infrequently,Very dissatisfied
Infrequently,Very infrequently,Not applicable to my course,Very infrequently,Infrequently,A moderate amount,A moderate amount,Dissatisfied
Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,A moderate amount,Very infrequently,Dissatisfied
Very frequently,Frequently,A moderate amount,Very infrequently,Infrequently,Frequently,Very infrequently,Dissatisfied
Frequently,Very frequently,A moderate amount,Very infrequently,A moderate amount,Very frequently,Frequently,Satisfied
Very infrequently,Infrequently,Not applicable to my course,Very frequently,Very frequently,Frequently,Very frequently,Neutral
A moderate amount,Very frequently,Frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very satisfied
Not applicable to my course,Not applicable to my course,Very infrequently,A moderate amount,Frequently,Frequently,A moderate amount,Satisfied
Infrequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very infrequently,Very infrequently,Not applicable to my course,Very dissatisfied
Very frequently,Very frequently,Very frequently,Frequently,Very frequently,Very frequently,Very frequently,Very satisfied
A moderate amount,Very infrequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,Infrequently,Not applicable to my course,Very dissatisfied
Very infrequently,Very infrequently,Not applicable to my course,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very satisfied
A moderate amount,Very infrequently,Very infrequently,Infrequently,A moderate amount,A moderate amount,Frequently,Neutral
Infrequently,Frequently,Very infrequently,Very infrequently,Frequently,Frequently,Very frequently,Dissatisfied
Infrequently,Infrequently,Infrequently,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Very satisfied
Very infrequently,Very frequently,Frequently,A moderate amount,Very frequently,Very frequently,Very frequently,Satisfied
A moderate amount,Very frequently,A moderate amount,A moderate amount,Very frequently,Very frequently,A moderate amount,Satisfied
Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very infrequently,,Not applicable to my course,Very dissatisfied
Frequently,A moderate amount,Infrequently,A moderate amount,Infrequently,A moderate amount,Infrequently,Very dissatisfied
Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Infrequently,Neutral
Frequently,Very frequently,Not applicable to my course,Not applicable to my course,Very infrequently,Very infrequently,Very frequently,Dissatisfied
Very frequently,Very frequently,A moderate amount,Not applicable to my course,Very frequently,Very frequently,Very frequently,Neutral
Very frequently,Frequently,Very infrequently,Not applicable to my course,Very infrequently,A moderate amount,Very frequently,Very satisfied
Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,A moderate amount,Very satisfied
Frequently,Very infrequently,Very infrequently,Frequently,Very frequently,Very frequently,Very frequently,Satisfied
A moderate amount,Infrequently,A moderate amount,A moderate amount,A moderate amount,Frequently,A moderate amount,Very dissatisfied
Very frequently,Very frequently,A moderate amount,Not applicable to my course,Frequently,Very frequently,Very infrequently,Neutral
Infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very dissatisfied
Frequently,Infrequently,Infrequently,A moderate amount,Very frequently,Very frequently,Frequently,Satisfied
A moderate amount,Very frequently,Infrequently,A moderate amount,Frequently,Frequently,Frequently,Satisfied
Frequently,A moderate amount,Not applicable to my course,Not applicable to my course,Not applicable to my course,Frequently,Infrequently,Very dissatisfied
Very frequently,Very frequently,A moderate amount,Infrequently,Very frequently,Very frequently,Very frequently,Very satisfied
Very frequently,Very frequently,Not applicable to my course,Very frequently,Frequently,Very frequently,A moderate amount,Very satisfied
A moderate amount,Very infrequently,Very infrequently,Infrequently,A moderate amount,Frequently,Very frequently,Satisfied
Frequently,Infrequently,Frequently,A moderate amount,Very frequently,Frequently,Frequently,Dissatisfied
Frequently,Infrequently,Very infrequently,Infrequently,Frequently,Frequently,Frequently,Very satisfied
Infrequently,A moderate amount,Very infrequently,Very infrequently,Very infrequently,Infrequently,Very infrequently,Very dissatisfied
A moderate amount,Very frequently,Very frequently,Frequently,A moderate amount,Very frequently,Very frequently,Satisfied
Frequently,Frequently,Infrequently,Frequently,Infrequently,Very frequently,Very frequently,Satisfied
Very frequently,Frequently,Very frequently,Not applicable to my course,Very frequently,Very frequently,Very frequently,Satisfied
Infrequently,Infrequently,Infrequently,Infrequently,Infrequently,Infrequently,Infrequently,Satisfied
Very frequently,Very frequently,Very frequently,Not applicable to my course,Frequently,Frequently,Frequently,Satisfied
Infrequently,A moderate amount,Infrequently,Frequently,Frequently,Very frequently,Very frequently,Satisfied
Very infrequently,Very infrequently,Not applicable to my course,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Satisfied
Very frequently,Frequently,Frequently,Very infrequently,Very frequently,Very frequently,Very frequently,Satisfied
Frequently,Infrequently,Frequently,A moderate amount,Very frequently,Frequently,Frequently,Dissatisfied
Frequently,Infrequently,Frequently,A moderate amount,Very frequently,Frequently,Frequently,Dissatisfied
Infrequently,Very frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Dissatisfied
A moderate amount,Not applicable to my course,Very infrequently,Very infrequently,A moderate amount,Frequently,Frequently,Neutral
Not applicable to my course,Infrequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,A moderate amount,A moderate amount,Very dissatisfied
Very frequently,Very frequently,Very frequently,Infrequently,Frequently,Frequently,Not applicable to my course,Dissatisfied
Frequently,Very infrequently,Not applicable to my course,Very infrequently,Frequently,Frequently,Frequently,Satisfied
A moderate amount,Not applicable to my course,Not applicable to my course,Frequently,Frequently,Not applicable to my course,Infrequently,Dissatisfied
Infrequently,A moderate amount,Very infrequently,Very infrequently,A moderate amount,Infrequently,Very infrequently,Dissatisfied
Frequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,A moderate amount,A moderate amount,Very dissatisfied
Very infrequently,Very frequently,Infrequently,Not applicable to my course,A moderate amount,Frequently,A moderate amount,Satisfied
Very frequently,Frequently,A moderate amount,Infrequently,Infrequently,Very frequently,Very frequently,Very satisfied
Very frequently,A moderate amount,Frequently,Not applicable to my course,Not applicable to my course,A moderate amount,Not applicable to my course,Very dissatisfied
A moderate amount,Very frequently,Infrequently,A moderate amount,Frequently,Frequently,Frequently,Satisfied
Very frequently,Very frequently,Not applicable to my course,Not applicable to my course,Very frequently,Very frequently,Very frequently,Very satisfied
Not applicable to my course,Not applicable to my course,Infrequently,Not applicable to my course,Frequently,Infrequently,Very infrequently,Dissatisfied
Frequently,Very frequently,Infrequently,Very infrequently,Frequently,Frequently,Frequently,Dissatisfied
Very frequently,Very frequently,Frequently,A moderate amount,Very infrequently,Frequently,Frequently,Very satisfied
Very infrequently,Frequently,Very infrequently,Infrequently,Infrequently,A moderate amount,Infrequently,Neutral
Very frequently,Very frequently,Frequently,Frequently,Frequently,Very frequently,Very frequently,Satisfied
Very frequently,Frequently,Infrequently,A moderate amount,Frequently,Frequently,Infrequently,Satisfied
A moderate amount,Infrequently,Not applicable to my course,Very infrequently,A moderate amount,Infrequently,A moderate amount,Neutral
Frequently,Very infrequently,Very infrequently,Very infrequently,Infrequently,Frequently,Very infrequently,Satisfied
A moderate amount,A moderate amount,Infrequently,Very infrequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very dissatisfied
Infrequently,Very infrequently,Very infrequently,Infrequently,Infrequently,Frequently,Frequently,Satisfied
Frequently,A moderate amount,A moderate amount,A moderate amount,Frequently,Frequently,Frequently,Satisfied
A moderate amount,Frequently,Very infrequently,Infrequently,A moderate amount,Infrequently,Very frequently,Satisfied
Very frequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very frequently,Not applicable to my course,Frequently,Very satisfied
Infrequently,Infrequently,Infrequently,Infrequently,A moderate amount,Very frequently,Very frequently,Satisfied
Frequently,Very frequently,A moderate amount,Frequently,Very frequently,Very frequently,Very frequently,Very satisfied
A moderate amount,A moderate amount,Very infrequently,Very infrequently,Infrequently,A moderate amount,A moderate amount,Satisfied
Frequently,Frequently,A moderate amount,Infrequently,Frequently,Frequently,Frequently,Satisfied
Very frequently,Very infrequently,Very infrequently,Not applicable to my course,Very frequently,Frequently,Very frequently,Satisfied
Very frequently,Very frequently,Not applicable to my course,A moderate amount,A moderate amount,Frequently,Frequently,Very satisfied
Very frequently,Very frequently,Not applicable to my course,Infrequently,A moderate amount,Very frequently,Infrequently,Very satisfied
Very frequently,Very frequently,Very infrequently,Infrequently,A moderate amount,A moderate amount,Frequently,Very satisfied
A moderate amount,Very frequently,Not applicable to my course,Not applicable to my course,Frequently,Frequently,Frequently,Dissatisfied
Frequently,Very frequently,Very infrequently,Infrequently,A moderate amount,Frequently,A moderate amount,Very dissatisfied
Infrequently,Frequently,Very infrequently,Very infrequently,A moderate amount,A moderate amount,A moderate amount,Very satisfied
Very frequently,Very frequently,Frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very satisfied
A moderate amount,Infrequently,Not applicable to my course,Infrequently,Very frequently,Very frequently,Very frequently,Very satisfied
Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Frequently,Frequently,Frequently,Neutral
Infrequently,Frequently,Infrequently,A moderate amount,Frequently,Very frequently,Frequently,Very satisfied
A moderate amount,Very infrequently,Not applicable to my course,Very infrequently,Very infrequently,A moderate amount,Very infrequently,Dissatisfied
Very infrequently,Very frequently,Very infrequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,A moderate amount,Very dissatisfied
Frequently,Not applicable to my course,Not applicable to my course,A moderate amount,Very infrequently,Frequently,A moderate amount,Satisfied
Frequently,Frequently,Infrequently,Very frequently,Very frequently,Very frequently,Very frequently,Very satisfied
Very frequently,Frequently,Frequently,Very infrequently,A moderate amount,Infrequently,A moderate amount,Satisfied
Very frequently,Very frequently,Very frequently,Not applicable to my course,Very frequently,Very frequently,Very frequently,Satisfied
Very infrequently,A moderate amount,Not applicable to my course,Infrequently,Frequently,Frequently,A moderate amount,Satisfied
Very frequently,Very frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Very satisfied
A moderate amount,Very frequently,Very frequently,Very infrequently,Very frequently,Very frequently,Frequently,Satisfied
Not applicable to my course,Not applicable to my course,Not applicable to my course,Very infrequently,Very infrequently,Infrequently,Very infrequently,Very dissatisfied
A moderate amount,A moderate amount,Infrequently,Very infrequently,Very frequently,Very frequently,Very frequently,Satisfied
Very frequently,Very frequently,Very frequently,Infrequently,A moderate amount,Frequently,A moderate amount,Very satisfied
Frequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very frequently,Very frequently,Satisfied
A moderate amount,Infrequently,Infrequently,A moderate amount,Frequently,Very frequently,Very frequently,Satisfied
Very frequently,Very frequently,Infrequently,Very frequently,Very frequently,Very frequently,Very frequently,Very satisfied
Infrequently,A moderate amount,Infrequently,Very infrequently,A moderate amount,Frequently,Frequently,Satisfied
A moderate amount,Very frequently,Very infrequently,Infrequently,Frequently,Frequently,Frequently,Very satisfied
A moderate amount,Frequently,Very frequently,Very frequently,Very frequently,Very frequently,A moderate amount,Very satisfied
Very frequently,Very infrequently,Infrequently,Very infrequently,Very frequently,Very frequently,Very frequently,Very satisfied
Very frequently,Very infrequently,Not applicable to my course,Very frequently,Very frequently,Very frequently,Frequently,Satisfied
Frequently,Very frequently,A moderate amount,Not applicable to my course,Frequently,Frequently,Very infrequently,Neutral
A moderate amount,Not applicable to my course,Not applicable to my course,A moderate amount,A moderate amount,Frequently,Frequently,Very satisfied
A moderate amount,Very infrequently,Not applicable to my course,Infrequently,A moderate amount,Very frequently,Very frequently,Very satisfied
Very frequently,Very frequently,Not applicable to my course,Very frequently,Very frequently,Very frequently,Very frequently,Very satisfied
Frequently,Frequently,Frequently,Not applicable to my course,Not applicable to my course,Very frequently,Very infrequently,Neutral
Frequently,Infrequently,Very infrequently,Not applicable to my course,Frequently,Very frequently,Very frequently,Satisfied
A moderate amount,Very infrequently,Very infrequently,Infrequently,Very frequently,Very frequently,Very frequently,Very satisfied
A moderate amount,Very frequently,A moderate amount,Very infrequently,Very infrequently,A moderate amount,Infrequently,Neutral
Very infrequently,Very infrequently,Infrequently,Infrequently,Very infrequently,Very infrequently,Very infrequently,Very satisfied
A moderate amount,A moderate amount,Infrequently,Not applicable to my course,Very infrequently,Infrequently,Very frequently,Dissatisfied
Infrequently,A moderate amount,Frequently,A moderate amount,A moderate amount,Frequently,A moderate amount,Satisfied
Infrequently,Very frequently,Very infrequently,Very frequently,Very frequently,Very frequently,Very frequently,Very satisfied
Very infrequently,Infrequently,Very infrequently,Very infrequently,Infrequently,Infrequently,Very infrequently,Dissatisfied
A moderate amount,Very infrequently,Very infrequently,Frequently,Frequently,Frequently,Frequently,Very satisfied
A moderate amount,Infrequently,Very infrequently,Infrequently,Very infrequently,Frequently,A moderate amount,Satisfied
Very frequently,Very frequently,Not applicable to my course,A moderate amount,Very frequently,Very frequently,Very frequently,Very satisfied
Very frequently,Infrequently,Infrequently,A moderate amount,Frequently,Frequently,Frequently,Dissatisfied
Frequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,Frequently,Frequently,A moderate amount,Satisfied
Not applicable to my course,Very frequently,Infrequently,A moderate amount,Very frequently,Very frequently,Very frequently,Satisfied
Very frequently,Very infrequently,Very infrequently,Very infrequently,Very frequently,Very frequently,A moderate amount,Very satisfied
Very frequently,Very frequently,Infrequently,Very frequently,Very frequently,Very frequently,Frequently,Satisfied
Very frequently,Very frequently,Very infrequently,Very frequently,A moderate amount,Very frequently,Very frequently,Satisfied
A moderate amount,A moderate amount,A moderate amount,Not applicable to my course,Very infrequently,Very frequently,Very frequently,Neutral
Infrequently,Infrequently,Frequently,Not applicable to my course,Very infrequently,Frequently,Frequently,Neutral
A moderate amount,Frequently,Not applicable to my course,A moderate amount,Very infrequently,Frequently,Infrequently,Very dissatisfied
Infrequently,Very infrequently,Very infrequently,Very infrequently,Frequently,Very frequently,Frequently,Satisfied
Very infrequently,Not applicable to my course,Not applicable to my course,Infrequently,Frequently,Very frequently,Very frequently,Very satisfied
Frequently,Very frequently,A moderate amount,A moderate amount,Very frequently,Very frequently,Very frequently,Very satisfied
Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,A moderate amount,Satisfied
Frequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very infrequently,Very frequently,Frequently,Satisfied
Frequently,Very infrequently,Very infrequently,Infrequently,A moderate amount,A moderate amount,A moderate amount,Very satisfied
Very frequently,Very frequently,Not applicable to my course,A moderate amount,Very frequently,Very frequently,A moderate amount,Very satisfied
Frequently,Frequently,A moderate amount,Infrequently,Very frequently,Frequently,Frequently,Satisfied
Infrequently,Frequently,Very infrequently,Infrequently,A moderate amount,Very frequently,Frequently,Very dissatisfied
Infrequently,Frequently,Not applicable to my course,Frequently,Very frequently,Very frequently,A moderate amount,Neutral
Frequently,Very frequently,A moderate amount,Very infrequently,Frequently,Very frequently,Very frequently,Very satisfied
Frequently,Frequently,Frequently,A moderate amount,Very frequently,Frequently,Very frequently,Satisfied
Very frequently,Frequently,Infrequently,Infrequently,Frequently,Very frequently,Frequently,Very satisfied
Very infrequently,Very infrequently,Infrequently,Very infrequently,Very infrequently,Infrequently,Infrequently,Satisfied
Very infrequently,Very infrequently,Infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very satisfied
Frequently,A moderate amount,Very infrequently,A moderate amount,Very frequently,Very frequently,Very frequently,Very satisfied
Very frequently,Infrequently,Not applicable to my course,A moderate amount,Very frequently,Very frequently,Very frequently,Very satisfied
Very frequently,Very frequently,Infrequently,Very frequently,Very frequently,Very frequently,Very frequently,Very satisfied
A moderate amount,Very frequently,Very infrequently,Very infrequently,Infrequently,Very frequently,Very frequently,Very satisfied
Very frequently,Very infrequently,Frequently,Very infrequently,Very infrequently,Very infrequently,A moderate amount,Very dissatisfied
A moderate amount,Frequently,Not applicable to my course,Infrequently,Very frequently,Very frequently,Infrequently,Satisfied
Very frequently,Very frequently,Very infrequently,Infrequently,Very frequently,Very frequently,Very frequently,Satisfied
Infrequently,Infrequently,Infrequently,Infrequently,Infrequently,Not applicable to my course,Very infrequently,Satisfied
Frequently,A moderate amount,Very infrequently,Very frequently,Very frequently,Very frequently,Frequently,Satisfied
Very frequently,Very frequently,Not applicable to my course,Frequently,Very frequently,Very frequently,Very frequently,Satisfied
A moderate amount,Very infrequently,Very infrequently,Very infrequently,A moderate amount,Very frequently,Frequently,Satisfied
Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Frequently,Infrequently,Satisfied
Very infrequently,Infrequently,Very infrequently,A moderate amount,Frequently,Very frequently,Frequently,Satisfied
Very frequently,Very frequently,Very infrequently,Very infrequently,Infrequently,Infrequently,Very infrequently,Neutral
Very frequently,Very frequently,Not applicable to my course,Very frequently,Very frequently,Very frequently,Frequently,Very satisfied
Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very satisfied
Very infrequently,Very frequently,Very infrequently,Not applicable to my course,Not applicable to my course,Very frequently,Very frequently,Very dissatisfied
Very frequently,Very frequently,Very frequently,A moderate amount,Very frequently,Very frequently,Frequently,Very satisfied
Frequently,Very frequently,Infrequently,Very infrequently,A moderate amount,Very frequently,Very frequently,Satisfied
A moderate amount,Infrequently,Infrequently,A moderate amount,Frequently,Very frequently,Very frequently,Neutral
Not applicable to my course,Not applicable to my course,Not applicable to my course,Very infrequently,Very frequently,Very frequently,Very frequently,Satisfied
A moderate amount,Very frequently,Not applicable to my course,Very infrequently,Infrequently,A moderate amount,A moderate amount,Neutral
Infrequently,A moderate amount,Very infrequently,Very infrequently,Very infrequently,Frequently,Infrequently,Neutral
Very frequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Frequently,Very frequently,Very dissatisfied
A moderate amount,Very frequently,Very frequently,A moderate amount,Very frequently,Very frequently,Very frequently,Very satisfied
Frequently,Very frequently,A moderate amount,Infrequently,Very frequently,Very frequently,Frequently,Neutral
Very infrequently,Not applicable to my course,Not applicable to my course,Very frequently,A moderate amount,Very frequently,Frequently,Satisfied
Frequently,Infrequently,Very infrequently,A moderate amount,A moderate amount,A moderate amount,Frequently,Neutral
Frequently,Frequently,A moderate amount,Very infrequently,Very frequently,Frequently,Frequently,Satisfied
Not applicable to my course,Not applicable to my course,Not applicable to my course,Infrequently,A moderate amount,A moderate amount,Very infrequently,Satisfied
A moderate amount,Very infrequently,Not applicable to my course,Frequently,Frequently,Frequently,Frequently,Neutral
Frequently,Frequently,Infrequently,Very infrequently,A moderate amount,Very frequently,A moderate amount,Satisfied
Frequently,Very frequently,Frequently,Frequently,Very frequently,Very frequently,Very frequently,Neutral
A moderate amount,Infrequently,Not applicable to my course,Frequently,Very frequently,Very frequently,Very frequently,Satisfied
Infrequently,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Frequently,Very frequently,Very dissatisfied
Frequently,Very frequently,A moderate amount,Infrequently,Frequently,Very frequently,Very frequently,Neutral
Infrequently,Infrequently,Very infrequently,A moderate amount,Infrequently,Very infrequently,Very infrequently,Dissatisfied
Very frequently,A moderate amount,Not applicable to my course,Not applicable to my course,Very frequently,Very frequently,Very frequently,Neutral
Very frequently,Very frequently,Very frequently,Infrequently,Frequently,Very frequently,Infrequently,Satisfied
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
